RelPath,Name,SizeKB,Kind,Machine,CorFlags,TargetFramework,AssemblyName,AssemblyVersion,TypeCount,MethodCount,PInvokeCount,HasCppDetails,Note
AdaptPluginsPackage.dll,AdaptPluginsPackage.dll,5,pure-IL,I386,ILOnly,".NETCoreApp,Version=v10.0",AdaptPluginsPackage,2026.8.3.1247,2,3,0,False,
AgGateway.ADAPT.ADMPlugin.dll,AgGateway.ADAPT.ADMPlugin.dll,101,pure-IL,I386,ILOnly,".NETStandard,Version=v2.0",AgGateway.ADAPT.ADMPlugin,1.0.0.0,322,534,0,False,
AgGateway.ADAPT.ApplicationDataModel.dll,AgGateway.ADAPT.ApplicationDataModel.dll,148,pure-IL,I386,ILOnly,".NETStandard,Version=v2.0",AgGateway.ADAPT.ApplicationDataModel,3.1.0.0,224,1957,0,False,
AgGateway.ADAPT.PluginManager.dll,AgGateway.ADAPT.PluginManager.dll,11,pure-IL,I386,ILOnly,".NETStandard,Version=v2.0",AgGateway.ADAPT.PluginManager,3.1.0.0,14,58,0,False,
AgGateway.ADAPT.Representation.dll,AgGateway.ADAPT.Representation.dll,164,pure-IL,I386,ILOnly,".NETStandard,Version=v2.0",AgGateway.ADAPT.Representation,3.1.0.0,134,451,0,False,
ar\crop-list.resources.dll,crop-list.resources.dll,19,pure-IL,I386,ILOnly,,crop-list.resources,1.0.0.0,1,0,0,False,
bg\crop-list.resources.dll,crop-list.resources.dll,20,pure-IL,I386,ILOnly,,crop-list.resources,1.0.0.0,1,0,0,False,
crop-list.dll,crop-list.dll,95,pure-IL,I386,ILOnly,".NETStandard,Version=v2.0",crop-list,1.0.0.0,5,35,0,False,
cs\crop-list.resources.dll,crop-list.resources.dll,17,pure-IL,I386,ILOnly,,crop-list.resources,1.0.0.0,1,0,0,False,
da\crop-list.resources.dll,crop-list.resources.dll,17,pure-IL,I386,ILOnly,,crop-list.resources,1.0.0.0,1,0,0,False,
de\crop-list.resources.dll,crop-list.resources.dll,17,pure-IL,I386,ILOnly,,crop-list.resources,1.0.0.0,1,0,0,False,
el\crop-list.resources.dll,crop-list.resources.dll,20,pure-IL,I386,ILOnly,,crop-list.resources,1.0.0.0,1,0,0,False,
en\crop-list.resources.dll,crop-list.resources.dll,17,pure-IL,I386,ILOnly,,crop-list.resources,1.0.0.0,1,0,0,False,
es\crop-list.resources.dll,crop-list.resources.dll,17,pure-IL,I386,ILOnly,,crop-list.resources,1.0.0.0,1,0,0,False,
et\crop-list.resources.dll,crop-list.resources.dll,17,pure-IL,I386,ILOnly,,crop-list.resources,1.0.0.0,1,0,0,False,
fi\crop-list.resources.dll,crop-list.resources.dll,17,pure-IL,I386,ILOnly,,crop-list.resources,1.0.0.0,1,0,0,False,
fr\crop-list.resources.dll,crop-list.resources.dll,17,pure-IL,I386,ILOnly,,crop-list.resources,1.0.0.0,1,0,0,False,
he\crop-list.resources.dll,crop-list.resources.dll,18,pure-IL,I386,ILOnly,,crop-list.resources,1.0.0.0,1,0,0,False,
hi\crop-list.resources.dll,crop-list.resources.dll,3,pure-IL,I386,ILOnly,,crop-list.resources,1.0.0.0,1,0,0,False,
hr\crop-list.resources.dll,crop-list.resources.dll,17,pure-IL,I386,ILOnly,,crop-list.resources,1.0.0.0,1,0,0,False,
hu\crop-list.resources.dll,crop-list.resources.dll,17,pure-IL,I386,ILOnly,,crop-list.resources,1.0.0.0,1,0,0,False,
is\crop-list.resources.dll,crop-list.resources.dll,17,pure-IL,I386,ILOnly,,crop-list.resources,1.0.0.0,1,0,0,False,
it\crop-list.resources.dll,crop-list.resources.dll,17,pure-IL,I386,ILOnly,,crop-list.resources,1.0.0.0,1,0,0,False,
ja\crop-list.resources.dll,crop-list.resources.dll,18,pure-IL,I386,ILOnly,,crop-list.resources,1.0.0.0,1,0,0,False,
JohnDeere.CommonDataFramework.dll,JohnDeere.CommonDataFramework.dll,2130,pure-IL,I386,ILOnly,".NETCoreApp,Version=v10.0",JohnDeere.CommonDataFramework,2026.7.22.1904,1148,6385,0,False,
