"PK_TABLE_NAME","PK_COLUMN_NAME","FK_TABLE_NAME","FK_COLUMN_NAME","UPDATE_RULE","DELETE_RULE","FK_NAME"
"Chart3dSettings_Table","2","AttributeChart3DSettings","1501","NO ACTION","CASCADE","Chart3dSettings_TableAttributeChart3DSettings"
"MapSettingsTable","2","AttributeMapSettings","1500","NO ACTION","CASCADE","MapSettingsTableAttributeMapSettings"
"Dataset_Table","2","BackgroundDataset_Table","2","CASCADE","CASCADE","Dataset_TableBackgroundDataset_Table"
"Dataset_Table","2","BackgroundLink_Table","1402","NO ACTION","CASCADE","Dataset_TableBackgroundLink_Table"
"BookletGrouping_Table","2","BookletProps_Table","1165","NO ACTION","CASCADE","BookletGrouping_TableBookletProps_Table"
"ChartGrouping_Table","2","Chart_Filter_Table","1161","NO ACTION","CASCADE","ChartGrouping_TableChart_Filter_Table"
"Dataset_Table","2","Dataset_Filing_Table","2","CASCADE","CASCADE","Dataset_TableDataset_Filing_Table"
"Logical_Field_Table","2","Dataset_Filing_Table","104","CASCADE","CASCADE","Logical_Field_TableDataset_Filing_Table"
"Logical_Product_Table","2","Dataset_Filing_Table","108","CASCADE","CASCADE","Logical_Product_TableDataset_Filing_Table"
"LogicalAttatchment_Table","2","Dataset_Filing_Table","125","CASCADE","CASCADE","LogicalAttatchment_TableDataset_Filing_Table"
"LogicalContainer_Table","2","Dataset_Filing_Table","129","CASCADE","CASCADE","LogicalContainer_TableDataset_Filing_Table"
"LogicalEquipmentConfig_Table","2","Dataset_Filing_Table","136","CASCADE","CASCADE","LogicalEquipmentConfig_TableDataset_Filing_Table"
"LogicalOperatingConfig_Table","2","Dataset_Filing_Table","128","CASCADE","CASCADE","LogicalOperatingConfig_TableDataset_Filing_Table"
"LogicalOperator_Table","2","Dataset_Filing_Table","119","CASCADE","CASCADE","LogicalOperator_TableDataset_Filing_Table"
"LogicalPest_Table","2","Dataset_Filing_Table","140","CASCADE","CASCADE","LogicalPest_TableDataset_Filing_Table"
"LogicalTask_Table","2","Dataset_Filing_Table","131","CASCADE","CASCADE","LogicalTask_TableDataset_Filing_Table"
"LogicalVehicle_Table","2","Dataset_Filing_Table","123","CASCADE","CASCADE","LogicalVehicle_TableDataset_Filing_Table"
"Mode_Table","2","Dataset_Filing_Table","106","CASCADE","CASCADE","Mode_TableDataset_Filing_Table"
"Monitor_Table","2","Dataset_Filing_Table","105","CASCADE","CASCADE","Monitor_TableDataset_Filing_Table"
"Operation_Table","2","Dataset_Filing_Table","112","NO ACTION","NO ACTION","Operation_TableDataset_Filing_Table"
"OperationalInstance_Table","2","Dataset_Filing_Table","113","CASCADE","CASCADE","OperationalInstance_TableDataset_Filing_Table"
"OperationPair_Table","2","Dataset_Filing_Table","132","CASCADE","CASCADE","OperationPair_TableDataset_Filing_Table"
"Physical_Farm_Table","2","Dataset_Filing_Table","102","CASCADE","CASCADE","Physical_Farm_TableDataset_Filing_Table"
"Physical_Field_Table","2","Dataset_Filing_Table","103","CASCADE","CASCADE","Physical_Field_TableDataset_Filing_Table"
"Physical_Product_Table","2","Dataset_Filing_Table","107","CASCADE","CASCADE","Physical_Product_TableDataset_Filing_Table"
"PhysicalGrower_Table","2","Dataset_Filing_Table","116","CASCADE","CASCADE","PhysicalGrower_TableDataset_Filing_Table"
"PhysicalTile_Table","2","Dataset_Filing_Table","145","NO ACTION","NO ACTION","PhysicalTile_TableDataset_Filing_Table"
"ScoutingGroup_Table","2","Dataset_Filing_Table","141","CASCADE","CASCADE","ScoutingGroup_TableDataset_Filing_Table"
"Year_Table","2","Dataset_Filing_Table","111","CASCADE","CASCADE","Year_TableDataset_Filing_Table"
"Chart3dSettings_Table","2","DatasetChart3DSettings","1501","NO ACTION","NO ACTION","Chart3dSettings_TableDatasetChart3DSettings"
"Dataset_Table","2","DatasetMapSettings","1402","CASCADE","CASCADE","Dataset_TableDatasetMapSettings"
"MapSettingsTable","2","DatasetMapSettings","1500","NO ACTION","CASCADE","MapSettingsTableDatasetMapSettings"
"Dataset_Table","2","DatasetNotesTable","1402","CASCADE","CASCADE","Dataset_TableDatasetNotesTable"
"NotesTable","2","DatasetNotesTable","1301","NO ACTION","CASCADE","NotesTableDatasetNotesTable"
"EnumGroup_Table","2","EnumGroupItem_Table","1903","CASCADE","CASCADE","EnumGroup_TableEnumGroupItem_Table"
"LogicalAttatchment_Table","2","Implement_Wheel_Table","125","NO ACTION","CASCADE","LogicalAttatchment_TableImplement_Wheel_Table"
"Grower_Table","2","Logical_Farm_Table","100","CASCADE","CASCADE","Grower_TableLogical_Farm_Table"
"Logical_Farm_Table","2","Logical_Field_Table","101","CASCADE","CASCADE","Logical_Farm_TableLogical_Field_Table"
"LogicalJob_Table","2","LogicalTask_Table","121","CASCADE","CASCADE","LogicalJob_TableLogicalTask_Table"
"Operation_Table","2","OperationalInstance_Table","112","CASCADE","CASCADE","Operation_TableOperationalInstance_Table"
"Chart3dSettings_Table","2","OperationChart3DSettings","1501","NO ACTION","CASCADE","Chart3dSettings_TableOperationChart3DSettings"
"MapSettingsTable","2","OperationMapSettings","1500","NO ACTION","CASCADE","MapSettingsTableOperationMapSettings"
"Dataset_Table","2","Physical_Dataset_Table","143","NO ACTION","CASCADE","Dataset_TablePhysical_Dataset_Table"
"Logical_Farm_Table","2","Physical_Farm_Table","101","CASCADE","CASCADE","Logical_Farm_TablePhysical_Farm_Table"
"Logical_Field_Table","2","Physical_Field_Table","104","CASCADE","CASCADE","Logical_Field_TablePhysical_Field_Table"
