"TABLE_NAME","COLUMN_NAME","ORDINAL","PK_NAME"
"AssocDatasetTable","2","1","PrimaryKey"
"AssociatedType_Table","2","1","PrimaryKey"
"AssocSubclass_Table","2","1","PrimaryKey"
"AttributeGrouping_Table","2","1","PrimaryKey"
"BackgroundDataset_Table","2","1","PrimaryKey"
"BackgroundLink_Table","2","1","PrimaryKey"
"Basestations","2","1","PrimaryKey"
"BookletGrouping_Table","2","1","PrimaryKey"
"BookletProps_Table","2","1","PrimaryKey"
"CalendarEvent_Table","2","1","PrimaryKey"
"Chart_Filter_Table","2","1","PrimaryKey"
"Chart3dSettings_Table","2","1","PrimaryKey"
"ChartGrouping_Table","2","1","PrimaryKey"
"CostDefinition_Table","2","1","PrimaryKey"
"CostRecord_Table","2","1","PrimaryKey"
"CropGrowthStage_Table","1904","1","PrimaryKey"
"Data_Type_Table","2","1","PrimaryKey"
"Dataset_Filing_Table","2","1","PrimaryKey"
"Dataset_Table","2","1","PrimaryKey"
"DatasetGroup_Table","2","1","PrimaryKey"
"DatasetNotesTable","2","1","PrimaryKey"
"DatasetPatternReference_Table","2","1","PrimaryKey"
"EnumGroup_Table","2","1","PrimaryKey"
"EnumGroupItem_Table","2","1","PrimaryKey"
"EnumType_Table","2","1","PrimaryKey"
"Epoch_Table","2","1","PrimaryKey"
"EquipmentReport_Table","2","1","PrimaryKey"
"EquipmentReportGroup_Table","2","1","PrimaryKey"
"GeneralFileInfo_Table","2","1","PrimaryKey"
"Grower_Table","2","1","PrimaryKey"
"Icon_Table","2","1","PrimaryKey"
"Implement_Wheel_Table","2","1","PrimaryKey"
"LegendFile_Table","2","1","PrimaryKey"
"LoggingEvent_Table","2","1","PrimaryKey"
"LoggingFileInfo_Table","2","1","PrimaryKey"
"Logical_Farm_Table","2","1","PrimaryKey"
"Logical_Field_Table","2","1","PrimaryKey"
"Logical_FieldNote_Table","2","1","PrimaryKey"
"Logical_Product_Table","2","1","PrimaryKey"
"LogicalAttatchment_Table","2","1","PrimaryKey"
"LogicalContainer_Table","2","1","PrimaryKey"
"LogicalCrop_Table","2","1","PrimaryKey"
"LogicalEquipmentConfig_Table","2","1","PrimaryKey"
"LogicalFieldTrial_Table","2","1","PrimaryKey"
"LogicalGuidancePattern_Table","2","1","PrimaryKey"
"LogicalJob_Table","2","1","PrimaryKey"
"LogicalLinkedItem_Table","2","1","PrimaryKey"
"LogicalOperatingConfig_Table","2","1","PrimaryKey"
"LogicalOperator_Table","2","1","PrimaryKey"
"LogicalPest_Table","2","1","PrimaryKey"
"LogicalProductMixEntry_Table","2","1","PrimaryKey"
"LogicalTask_Table","2","1","PrimaryKey"
"LogicalTile_Table","2","1","PrimaryKey"
"LogicalTileFeature_Table","2","1","PrimaryKey"
"LogicalTileGroup_Table","2","1","PrimaryKey"
"LogicalVehicle_Table","2","1","PrimaryKey"
"MappableProps_Table","2","1","PrimaryKey"
"MapSettingsTable","2","1","PrimaryKey"
"Mode_Table","2","1","PrimaryKey"
"Monitor_Table","2","1","PrimaryKey"
"MSysAccessStorage","Id","1","Id"
"MSysAccessXML","Id","1","Id"
"NotesTable","2","1","PrimaryKey"
"Operation_Table","2","1","PrimaryKey"
"OperationalInstance_Table","2","1","PrimaryKey"
"OperationPair_Table","2","1","PrimaryKey"
"Physical_Dataset_Table","2","1","PrimaryKey"
"Physical_Farm_Table","2","1","PrimaryKey"
"Physical_Field_Table","2","1","PrimaryKey"
"Physical_FieldNote_Table","2","1","PrimaryKey"
"Physical_Pest_Table","2","1","PrimaryKey"
"Physical_Product_Table","2","1","PrimaryKey"
"Physical_Units_Table","2","1","PrimaryKey"
"PhysicalAttatchment_Table","2","1","PrimaryKey"
"PhysicalContainer_Table","2","1","PrimaryKey"
"PhysicalCrop_Table","2","1","PrimaryKey"
"PhysicalEquipmentConfig_Table","2","1","PrimaryKey"
"PhysicalGrower_Table","2","1","PrimaryKey"
"PhysicalGuidancePattern_Table","2","1","PrimaryKey"
"PhysicalJob_Table","2","1","PrimaryKey"
"PhysicalLinkedItem_Table","2","1","PrimaryKey"
"PhysicalOperatingConfig_Table","2","1","PrimaryKey"
"PhysicalOperator_Table","2","1","PrimaryKey"
"PhysicalOpEvent_Table","2","1","PrimaryKey"
"PhysicalProductMixEntry_Table","2","1","PrimaryKey"
"PhysicalTask_Table","2","1","PrimaryKey"
"PhysicalTile_Table","2","1","PrimaryKey"
"PhysicalTileFeature_Table","2","1","PrimaryKey"
"PhysicalTileGroup_Table","2","1","PrimaryKey"
"PhysicalVehicle_Table","2","1","PrimaryKey"
"Projection_Table","2","1","PrimaryKey"
"PropertyDefinition_Table","2","1","PrimaryKey"
"Report_Filter_Table","2","1","PrimaryKey"
"ReportGrouping_Table","2","1","PrimaryKey"
"Sample_Attribute_Definition_Table","2","1","PrimaryKey"
"ScoutingGroup_Table","2","1","PrimaryKey"
"SetupInfo_Table","2","1","PrimaryKey"
"Spatial_Filter_Table","2","1","PrimaryKey"
"SpatialFilter_Grouping_Table","2","1","PrimaryKey"
"TaskTemplate_Table","2","1","PrimaryKey"
"Vehicle_Wheel_Table","2","1","PrimaryKey"
"Version_Table","2","1","PrimaryKey"
"WeatherAttributeTable","2","1","PrimaryKey"
"WeatherChartTemplate_Table","2","1","PrimaryKey"
"WeatherZone_Table","2","1","PrimaryKey"
"Year_Table","2","1","PrimaryKey"
