"TableName","TableType","RowCount"
"AdditionalProperty_Table","TABLE","0"
"AnalysisOperation_Table","TABLE","65"
"AssocAttributeDefinition_Table","TABLE","97"
"AssocDatasetTable","TABLE","1"
"AssocFiling_Table","TABLE","0"
"AssociatedType_Table","TABLE","14"
"AssocSubclass_Table","TABLE","10"
"AttributeChart3DSettings","TABLE","0"
"AttributeGrouping_Table","TABLE","15"
"AttributeMapSettings","TABLE","3"
"BackgroundDataset_Table","TABLE","843"
"BackgroundLink_Table","TABLE","0"
"Basestations","TABLE","0"
"BookletGrouping_Table","TABLE","1"
"BookletProps_Table","TABLE","1"
"CalendarEvent_Table","TABLE","3195"
"Chart_Filter_Table","TABLE","3"
"Chart3dSettings_Table","TABLE","154"
"ChartGrouping_Table","TABLE","1"
"CostDefinition_Table","TABLE","40"
"CostRecord_Table","TABLE","540"
"CropGrowthStage_Table","TABLE","128"
"Data_Type_Table","TABLE","117"
"Dataset_Filing_Table","TABLE","2632"
"Dataset_Table","TABLE","3476"
"DatasetAssociationTable","TABLE","0"
"DatasetChart3DSettings","TABLE","0"
"DatasetGroup_Table","TABLE","3110"
"DatasetLegend_Table","TABLE","3"
"DatasetMapSettings","TABLE","38"
"DatasetNotesTable","TABLE","0"
"DatasetPatternReference_Table","TABLE","155"
"DefaultLegend_Table","TABLE","42"
"EnumGroup_Table","TABLE","11"
"EnumGroupItem_Table","TABLE","122"
"EnumType_Table","TABLE","86"
"Epoch_Table","TABLE","0"
"EquipmentReport_Table","TABLE","2"
"EquipmentReportGroup_Table","TABLE","1"
"GeneralFileInfo_Table","TABLE","160"
"Grower_Table","TABLE","97"
"Icon_Table","TABLE","64"
"Implement_Wheel_Table","TABLE","0"
"LegendFile_Table","TABLE","36"
"LoggingEvent_Table","TABLE","0"
"LoggingFileInfo_Table","TABLE","1748"
"Logical_Farm_Table","TABLE","161"
"Logical_Field_Table","TABLE","1451"
"Logical_FieldNote_Table","TABLE","1"
"Logical_Product_Table","TABLE","411"
"LogicalAttatchment_Table","TABLE","120"
"LogicalContainer_Table","TABLE","1"
"LogicalCrop_Table","TABLE","1519"
"LogicalEquipmentConfig_Table","TABLE","1"
"LogicalFieldTrial_Table","TABLE","46"
"LogicalGuidancePattern_Table","TABLE","157"
"LogicalJob_Table","TABLE","1"
"LogicalLinkedItem_Table","TABLE","9"
"LogicalLookupTable_Table","TABLE","1"
"LogicalOperatingConfig_Table","TABLE","1"
"LogicalOperator_Table","TABLE","42"
"LogicalPest_Table","TABLE","1"
"LogicalProductMixEntry_Table","TABLE","321"
"LogicalTask_Table","TABLE","1"
"LogicalTile_Table","TABLE","1"
"LogicalTileFeature_Table","TABLE","1"
"LogicalTileGroup_Table","TABLE","1"
"LogicalVehicle_Table","TABLE","44"
"MappableProps_Table","TABLE","397"
"MapSettingsTable","TABLE","98"
"Mode_Table","TABLE","33"
"ModeDefinitionTable","TABLE","0"
"Monitor_Table","TABLE","17"
"NotesTable","TABLE","48"
"Operation_Table","TABLE","79"
"OperationalInstance_Table","TABLE","148"
"OperationChart3DSettings","TABLE","17"
"OperationMapSettings","TABLE","79"
"OperationPair_Table","TABLE","13"
"Physical_Dataset_Table","TABLE","2063"
"Physical_Farm_Table","TABLE","121"
"Physical_Field_Table","TABLE","1143"
"Physical_FieldNote_Table","TABLE","0"
"Physical_Pest_Table","TABLE","0"
"Physical_Product_Table","TABLE","1156"
"Physical_Units_Table","TABLE","0"
"PhysicalAttatchment_Table","TABLE","190"
"PhysicalContainer_Table","TABLE","1"
"PhysicalCrop_Table","TABLE","0"
"PhysicalEquipmentConfig_Table","TABLE","1"
"PhysicalGrower_Table","TABLE","77"
"PhysicalGuidancePattern_Table","TABLE","86"
"PhysicalJob_Table","TABLE","1"
"PhysicalLinkedItem_Table","TABLE","0"
"PhysicalOperatingConfig_Table","TABLE","1"
"PhysicalOperator_Table","TABLE","54"
"PhysicalOpEvent_Table","TABLE","1"
"PhysicalProductMixEntry_Table","TABLE","244"
"PhysicalSpatial_Table","TABLE","0"
"PhysicalTask_Table","TABLE","0"
"PhysicalTile_Table","TABLE","1"
"PhysicalTileFeature_Table","TABLE","1"
"PhysicalTileGroup_Table","TABLE","1"
"PhysicalVehicle_Table","TABLE","66"
"Projection_Table","TABLE","693"
"PropertyDefinition_Table","TABLE","512"
"Report_Filter_Table","TABLE","13"
"ReportGrouping_Table","TABLE","1"
"Sample_Attribute_Definition_Table","TABLE","763"
"ScoutingGroup_Table","TABLE","1"
"SetupInfo_Table","TABLE","13"
"Spatial_Filter_Table","TABLE","0"
"SpatialFilter_Grouping_Table","TABLE","1"
"SystemDefaultLegend_Table","TABLE","10"
"TaskTemplate_Table","TABLE","0"
"Vehicle_Wheel_Table","TABLE","0"
"Version_Table","TABLE","1"
"WeatherAttributeTable","TABLE","27"
"WeatherChartDefault_Table","TABLE","1"
"WeatherChartTemplate_Table","TABLE","4"
"WeatherZone_Table","TABLE","7"
"Year_Table","TABLE","17"
